timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
1939012897,2.21236,2.29745,26.7219,1.0
1939023620,2.21759,2.30287,26.7191,1.0
1939034355,2.22748,2.31314,26.7191,1.0
1939045096,2.24066,2.32676,26.7005,1.0
1939055895,2.25452,2.34124,26.7205,1.0
1939088102,2.28886,2.37685,26.7077,1.0
1939098804,2.29465,2.38284,26.7019,1.0
1939109513,2.29675,2.38509,26.7205,1.0
1939120241,2.2966,2.38493,26.7191,1.0
1939420777,2.18107,2.26495,26.7162,1.0
1939431540,2.18358,2.26753,26.7077,1.0
1939442298,2.18532,2.2693,26.7005,1.0
1939453049,2.18292,2.26682,26.7019,1.0
1939463778,2.17674,2.26045,26.7191,1.0
1939474517,2.17037,2.25391,26.7405,1.0
1939485274,2.1662,2.24959,26.7434,1.0
1939496001,2.16499,2.24834,26.742,1.0
1939506801,2.1653,2.24854,26.7105,1.0
1939560458,2.17252,2.25572,26.6271,1.0
1939571154,2.17225,2.25534,26.5999,1.0
1939581855,2.16968,2.25277,26.6214,1.0
1939871644,1.93694,2.01107,26.62,1.0
1939882407,1.92677,2.00053,26.6242,1.0
1939893205,1.91922,1.99262,26.6042,1.0
1939903962,1.91619,1.98951,26.6042,1.0
1939914708,1.92012,1.9936,26.6057,1.0
1939925426,1.93215,2.00609,26.6057,1.0
1939936197,1.9502,2.0252,26.7191,1.0
1939946933,1.97537,2.0514,26.7362,1.0
1939957707,2.00856,2.08573,26.6934,1.0
1939968451,2.0467,2.12542,26.7191,1.0
1940011332,2.20447,2.2892,26.7034,1.0
1940022061,2.23204,2.31791,26.7248,1.0
1940032792,2.25435,2.34097,26.6962,1.0
1940043511,2.273,2.36042,26.7191,1.0
1940322727,2.57122,2.67011,26.7219,1.0
1940333541,2.60942,2.70968,26.6991,1.0
1940344277,2.64933,2.75115,26.7048,1.0
1940354967,2.68987,2.79322,26.6977,1.0
1940365699,2.73098,2.83599,26.7162,1.0
1940376424,2.77321,2.87985,26.7177,1.0
1940387306,2.81561,2.92391,26.7219,1.0
1940398046,2.85561,2.96543,26.7177,1.0
1940408741,2.89259,3.00395,26.7405,1.0
1940451697,3.01361,3.12912,26.6457,1.0
1940462450,3.03828,3.15459,26.6185,1.0
1940473196,3.06188,3.17913,26.6242,1.0
1940483927,3.08568,3.20373,26.6028,1.0
1940784752,3.64699,3.78724,26.7219,1.0
1940795448,3.64643,3.78661,26.7119,1.0
1940806174,3.64831,3.78865,26.7191,1.0
1940816921,3.65236,3.79283,26.7148,1.0
1940827680,3.65795,3.79853,26.6991,1.0
1940838386,3.66508,3.80595,26.7005,1.0
1940849141,3.67409,3.81527,26.6948,1.0
1940859832,3.68448,3.82632,26.7362,1.0
1940870604,3.69579,3.83806,26.7348,1.0
1940881377,3.70694,3.84939,26.6962,1.0
1940935105,3.76384,3.90848,26.7019,1.0
1940945800,3.77675,3.92201,26.7205,1.0
1940956528,3.79165,3.93747,26.7177,1.0
1941246823,4.79886,4.98276,26.6328,1.0
1941257552,4.8406,5.02604,26.6242,1.0
1941268297,4.8809,5.06786,26.6228,1.0
1941279060,4.92021,5.1087,26.6242,1.0
1941289776,4.9578,5.14782,26.6271,1.0
1941300528,4.99301,5.18436,26.6242,1.0
1941311281,5.02588,5.21848,26.6242,1.0
1941322020,5.05817,5.25307,26.7448,1.0
1941332847,5.09278,5.28915,26.7605,1.0
1941343540,5.12841,5.32598,26.7405,1.0
1941418656,5.3262,5.53106,26.7177,1.0
1941429359,5.35538,5.56136,26.7162,1.0
1941440157,5.38398,5.59104,26.7148,1.0
1941450957,5.41056,5.61874,26.7148,1.0
1941740931,5.92552,6.15362,26.7219,1.0
1941751706,5.94032,6.16896,26.7191,1.0
1941762448,5.95735,6.18667,26.7205,1.0
1941773197,5.97627,6.20625,26.7191,1.0
1941783924,5.99754,6.22852,26.7362,1.0
1941794641,6.02125,6.25315,26.7377,1.0
1941805388,6.04458,6.27695,26.6962,1.0
1941816106,6.06567,6.29904,26.7148,1.0
1941826877,6.08605,6.32018,26.7119,1.0
1941837570,6.10634,6.34132,26.7191,1.0
1941869818,6.16307,6.39998,26.6962,1.0
1941880581,6.18545,6.42346,26.7191,1.0
1941891283,6.21117,6.44997,26.7019,1.0
1941901997,6.23887,6.47911,26.7362,1.0
1942192409,6.94127,7.20813,26.6962,1.0
1942203156,6.9661,7.23414,26.7134,1.0
1942213903,6.99312,7.26225,26.7177,1.0
1942224680,7.02377,7.29399,26.7105,1.0
1942235453,7.05628,7.32782,26.7162,1.0
1942246192,7.08799,7.36108,26.7434,1.0
1942256981,7.11683,7.39071,26.7248,1.0
1942267798,7.14109,7.41559,26.6991,1.0
1942278532,7.162,7.43752,26.7162,1.0
1942343017,7.26865,7.54819,26.7005,1.0
1942353723,7.28785,7.56813,26.7005,1.0
1942364450,7.30689,7.58845,26.7448,1.0
1942375158,7.32759,7.61003,26.7448,1.0
1942654570,7.904,8.20687,26.6228,1.0
1942665436,7.92378,8.22749,26.6285,1.0
1942676238,7.94398,8.24833,26.6185,1.0
1942686930,7.96582,8.27088,26.61,1.0
1942697680,7.98897,8.29517,26.6214,1.0
1942708407,8.01179,8.32029,26.7248,1.0
1942719180,8.03347,8.34273,26.7191,1.0
1942729876,8.0534,8.36322,26.7048,1.0
1942740636,8.07211,8.3826,26.7005,1.0
1942783625,8.15356,8.46727,26.7162,1.0
1942794322,8.17253,8.48707,26.7234,1.0
1942805055,8.191,8.50635,26.7219,1.0
1942815829,8.20961,8.52519,26.6876,1.0
1943105954,8.47947,8.80567,26.7019,1.0
1943116785,8.48999,8.81678,26.7148,1.0
1943127562,8.49958,8.82642,26.6977,1.0
1943138292,8.50971,8.83692,26.6962,1.0
1943149007,8.52157,8.84965,26.7248,1.0
1943159808,8.53536,8.86388,26.7177,1.0
1943170553,8.54994,8.87933,26.7391,1.0
1943181342,8.56464,8.8941,26.6948,1.0
1943192078,8.58079,8.91089,26.6962,1.0
1943202778,8.59659,8.92762,26.7177,1.0
1943224239,8.62173,8.95377,26.7205,1.0
1943234962,8.6331,8.96536,26.7062,1.0
1943245695,8.64386,8.97674,26.7219,1.0
1943256420,8.6542,8.9875,26.7234,1.0
1943267136,8.66409,8.99747,26.7034,1.0
1943567641,8.65962,8.99115,26.5957,1.0
1943578463,8.64519,8.97608,26.5899,1.0
1943589178,8.63053,8.96246,26.6977,1.0
1943599943,8.61665,8.94824,26.7105,1.0
1943610660,8.60384,8.93511,26.7191,1.0
1943621370,8.5915,8.92223,26.7148,1.0
1943632269,8.57991,8.91062,26.7434,1.0
1943642971,8.56908,8.89927,26.7362,1.0
1943653667,8.55925,8.88859,26.7048,1.0
1943718133,8.51353,8.841,26.6991,1.0
1943728851,8.51104,8.83851,26.7048,1.0
1943739558,8.51038,8.83812,26.7248,1.0
1943750306,8.51262,8.84065,26.7391,1.0
1944029676,8.79485,9.13178,26.6014,1.0
1944040391,8.80382,9.1413,26.6214,1.0
1944051116,8.81216,9.14994,26.62,1.0
1944061826,8.82216,9.16032,26.62,1.0
1944072668,8.83434,9.17271,26.6028,1.0
1944083472,8.84791,9.18864,26.7234,1.0
1944094281,8.86128,9.20248,26.7177,1.0
1944105171,8.87284,9.21455,26.7219,1.0
1944115865,8.88375,9.22579,26.7162,1.0
1944126556,8.89537,9.23764,26.7019,1.0
1944158815,8.92669,9.27034,26.7177,1.0
1944169539,8.93835,9.28249,26.7205,1.0
1944180277,8.94898,9.29348,26.7177,1.0
1944190981,8.95758,9.30246,26.7205,1.0
1944481091,8.92183,9.26532,26.7162,1.0
1944491851,8.93033,9.27406,26.7048,1.0
1944502613,8.9387,9.28262,26.6962,1.0
1944513309,8.9463,9.29056,26.6991,1.0
1944524001,8.95421,9.29906,26.7177,1.0
1944534705,8.96185,9.3071,26.7219,1.0
1944545399,8.96791,9.31342,26.7234,1.0
1944556164,8.97266,9.31871,26.7462,1.0
1944566916,8.97719,9.32304,26.7219,1.0
1944609758,8.98057,9.32606,26.6962,1.0
1944620471,8.98063,9.32617,26.6991,1.0
1944631163,8.98346,9.32909,26.6977,1.0
1944641875,8.98828,9.33436,26.7148,1.0
1944931575,9.04404,9.39197,26.6991,1.0
1944942449,9.03423,9.38183,26.7019,1.0
1944953219,9.02561,9.37274,26.6934,1.0
1944963976,9.01804,9.36508,26.7005,1.0
1944974669,9.01029,9.35737,26.7219,1.0
1944985361,9.00201,9.34883,26.7262,1.0
1944996147,8.99345,9.33977,26.7148,1.0
1945006840,8.98441,9.33018,26.7019,1.0
1945017536,8.97705,9.32312,26.7391,1.0
1945028300,8.97347,9.3194,26.7391,1.0
1945092815,8.98505,9.33063,26.6962,1.0
1945103615,8.9889,9.33494,26.7162,1.0
1945114337,8.99365,9.33989,26.7177,1.0
